phrase_id,sentence_id,phrase,type,bundle_id,preceeded_by,leads_to
0,0,['crime'],NP,0,-1,1
1,0,[],NP,0,-1,1
2,0,and,CONJ,0,-1,1
3,0,"['punishment', 'fyodor']",NP,0,-1,1
4,0,"['dostoevsky', 'translated']",NP,0,-1,1
5,0,[],NP,0,-1,1
6,0,by,PREP,1,-1,2
7,0,"['constance', 'garnett']",NP,1,-1,2
8,0,[],NP,1,-1,2
9,0,this,DET,2,-1,3
10,0,['ebook'],NP,2,-1,3
11,0,[],NP,2,-1,3
12,0,is,AUX,2,-1,3
13,0,['designed'],NP,2,-1,3
14,0,[],NP,2,-1,3
15,0,and,CONJ,2,-1,3
16,0,['published'],NP,2,-1,3
17,0,[],NP,2,-1,3
18,0,by,PREP,3,-1,4
19,0,"['planet', 'pdf']",NP,3,-1,4
0,1,[],NP,0,-1,1
1,1,for,PREP,1,-1,2
2,1,"['more', 'free']",NP,1,-1,2
3,1,"['ebooks', 'visit']",NP,1,-1,2
4,1,"['our', 'web']",NP,1,-1,2
5,1,['site'],NP,1,-1,2
6,1,at,PREP,2,-1,3
7,1,"['http:', 'www']",NP,2,-1,3
0,2,['planetpdf'],NP,0,-1,1
0,3,"['com', 'crime']",NP,0,-1,1
1,3,[],NP,0,-1,1
2,3,and,CONJ,0,-1,1
3,3,"['punishment', '2']",NP,0,-1,1
4,3,[],NP,0,-1,1
5,3,of,PREP,1,-1,2
6,3,"['967', 'translator’s']",NP,1,-1,2
7,3,['preface'],NP,1,-1,2
8,3,a,DET,2,-1,3
9,3,"['few', 'words']",NP,2,-1,3
10,3,"['about', 'dostoevsky']",NP,2,-1,3
11,3,['himself'],NP,2,-1,3
12,3,[],NP,2,-1,3
13,3,may,MOD,2,-1,3
14,3,['help'],NP,2,-1,3
15,3,[],NP,2,-1,3
16,3,the,DET,3,-1,4
17,3,"['english', 'reader']",NP,3,-1,4
18,3,[],NP,3,-1,4
19,3,to,PREP,4,-1,5
20,3,"['understand', 'his']",NP,4,-1,5
21,3,['work'],NP,4,-1,5
0,4,['dostoevsky'],NP,0,-1,1
1,4,[],NP,0,-1,1
2,4,was,AUX,0,-1,1
3,4,[],NP,0,-1,1
4,4,the,DET,1,-1,2
5,4,['son'],NP,1,-1,2
6,4,[],NP,1,-1,2
7,4,of,PREP,2,-1,3
8,4,[],NP,2,-1,3
9,4,a,DET,3,-1,4
10,4,['doctor'],NP,3,-1,4
0,5,"['his', 'parents']",NP,0,-1,1
1,5,[],NP,0,-1,1
