phrase_id,sentence_id,phrase,type,bundle_id,preceeded_by,leads_to,xmin,ymin,xmax,ymax,Page,Total_Sentences
0,0,"['F.', 'Scott']",NP,0,-1,1,86.92794036865234,483.4024658203125,108.21041107177734,703.400146484375,0,3
1,1,"['F', 'The']",NP,0,-1,1,86.92794036865234,483.4024658203125,108.21041107177734,703.400146484375,0,3
2,2,"['Great', 'Gastby']",NP,0,-1,1,86.92794036865234,483.4024658203125,108.21041107177734,703.400146484375,0,3
3,3,"['(1925)', '']",NP,0,-1,1,86.92794036865234,483.4024658203125,108.21041107177734,703.400146484375,0,3
4,4,"['', '']",NP,0,-1,1,134.50794982910156,540.25439453125,144.06594848632812,715.8860473632812,0,3
5,5,"['Then', 'wear']",NP,0,-1,1,134.50794982910156,540.25439453125,144.06594848632812,715.8860473632812,0,3
6,6,"['gold', 'hat,']",NP,0,-1,1,134.50794982910156,540.25439453125,144.06594848632812,715.8860473632812,0,3
7,7,"['move', 'her;']",NP,0,-1,1,134.50794982910156,540.25439453125,144.06594848632812,715.8860473632812,0,3
8,8,"['if', '']",NP,0,-1,1,134.50794982910156,540.25439453125,144.06594848632812,715.8860473632812,0,3
9,9,"['If', 'you']",NP,0,-1,1,145.90794372558594,532.951416015625,155.4659423828125,700.8905029296875,0,3
10,10,"['bounce', 'high,']",NP,0,-1,1,145.90794372558594,532.951416015625,155.4659423828125,700.8905029296875,0,3
11,11,"['her', 'too,']",NP,0,-1,1,145.90794372558594,532.951416015625,155.4659423828125,700.8905029296875,0,3
12,12,"['bounce', '']",NP,0,-1,1,145.90794372558594,532.951416015625,155.4659423828125,700.8905029296875,0,3
13,13,"['Till', 'she']",NP,0,-1,1,157.3079376220703,507.036376953125,166.86593627929688,715.8860473632812,0,3
14,14,"['cry', '“Lover,']",NP,0,-1,1,157.3079376220703,507.036376953125,166.86593627929688,715.8860473632812,0,3
15,15,"['gold-hatted,', 'high-bouncing']",NP,0,-1,1,157.3079376220703,507.036376953125,166.86593627929688,715.8860473632812,0,3
16,16,"['lover,', '']",NP,0,-1,1,157.3079376220703,507.036376953125,166.86593627929688,715.8860473632812,0,3
17,17,['I'],NP,0,-1,1,168.70791625976562,631.5929565429688,178.2659149169922,700.8902587890625,0,3
18,18,"['you!”', '']",NP,0,-1,1,180.10791015625,473.6806945800781,189.66590881347656,617.845947265625,0,3
19,19,"['THOMAS', 'PARKE']",NP,0,-1,1,180.10791015625,473.6806945800781,189.66590881347656,617.845947265625,0,3
20,20,"['D’INVILLIERS', '']",NP,0,-1,1,191.83143615722656,728.3088989257812,202.40895080566406,730.8900146484375,0,3
21,21,"['', '']",NP,0,-1,1,191.83143615722656,728.3088989257812,202.40895080566406,730.8900146484375,0,3
22,22,"['Chapter', '1']",NP,0,-1,1,253.27139282226562,443.41998291015625,263.8489074707031,730.8900146484375,0,3
23,23,"['', 'In']",NP,0,-1,1,253.27139282226562,443.41998291015625,263.8489074707031,730.8900146484375,0,3
24,24,"['my', 'younger']",NP,0,-1,1,253.27139282226562,443.41998291015625,263.8489074707031,730.8900146484375,0,3
25,25,[],NP,0,-1,1,253.27139282226562,443.41998291015625,263.8489074707031,730.8900146484375,0,3
26,26,and,NP,0,-1,1,253.27139282226562,443.41998291015625,263.8489074707031,730.8900146484375,0,3
27,27,"['more', 'vulnerable']",NP,0,-1,1,253.27139282226562,443.41998291015625,263.8489074707031,730.8900146484375,0,3
28,28,"['years', 'my']",NP,0,-1,1,253.27139282226562,443.41998291015625,263.8489074707031,730.8900146484375,0,3
29,29,"['father', 'gave']",NP,0,-1,1,253.27139282226562,443.41998291015625,263.8489074707031,730.8900146484375,0,3
30,30,"['me', 'some']",NP,0,-1,1,253.27139282226562,443.41998291015625,263.8489074707031,730.8900146484375,0,3
31,31,"['', 'advice']",NP,0,-1,1,265.87139892578125,503.543701171875,276.44891357421875,745.8895874023438,0,3
32,32,['I’ve'],NP,0,-1,1,265.87139892578125,503.543701171875,276.44891357421875,745.8895874023438,0,3
33,33,['turning'],NP,0,-1,1,265.87139892578125,503.543701171875,276.44891357421875,745.8895874023438,0,3
34,34,"['my', 'mind']",NP,0,-1,1,265.87139892578125,503.543701171875,276.44891357421875,745.8895874023438,0,3
35,35,"['ever', 'since.']",NP,0,-1,1,265.87139892578125,503.543701171875,276.44891357421875,745.8895874023438,0,3
36,36,"['', '“Whenever']",NP,0,-1,1,278.5914001464844,446.08038330078125,289.1689147949219,730.8890380859375,0,3
37,37,"['you', 'feel']",NP,0,-1,1,278.5914001464844,446.08038330078125,289.1689147949219,730.8890380859375,0,3
38,38,"['like', 'criticizing']",NP,0,-1,1,278.5914001464844,446.08038330078125,289.1689147949219,730.8890380859375,0,3
39,39,"['any', 'one,”']",NP,0,-1,1,278.5914001464844,446.08038330078125,289.1689147949219,730.8890380859375,0,3
40,40,"['he', 'told']",NP,0,-1,1,278.5914001464844,446.08038330078125,289.1689147949219,730.8890380859375,0,3
41,41,"['me,', '“just']",NP,0,-1,1,278.5914001464844,446.08038330078125,289.1689147949219,730.8890380859375,0,3
42,42,"['re-', 'member']",NP,0,-1,1,291.19140625,443.4216003417969,301.7689208984375,745.8886108398438,0,3
43,43,['all'],NP,0,-1,1,291.19140625,443.4216003417969,301.7689208984375,745.8886108398438,0,3
44,44,['people'],NP,0,-1,1,291.19140625,443.4216003417969,301.7689208984375,745.8886108398438,0,3
45,45,"['world', 'haven’t']",NP,0,-1,1,291.19140625,443.4216003417969,301.7689208984375,745.8886108398438,0,3
46,46,"['advantages', '']",NP,0,-1,1,303.9114074707031,671.6581420898438,314.4889221191406,745.8885498046875,0,3
