Original_Text,Word_Count,Char_Count,Sentiment_Polarity,Translated_Text,Source_Id,Source_Name
"



THE KING IN YELLOW BY ROBERT W",6,33,0.0,"



THE KING IN YELLOW BY ROBERT W",5,TheKingInYellow,maybe_english,0.7127846257863659,0,"



THE KING IN YELLOW BY ROBERT W"
" CHAMBERS AITTMOR OF "" IN THB QUAXTBK",7,36,0.0," CHAMBERS AITTMOR OF "" IN THB QUAXTBK",5,TheKingInYellow,english,0.9999952629738623,0," CHAMBERS AITTMOR OF "" IN THB QUAXTBK"
""" TENNYSON NEELT, 114 FIFTH AVENUE, NEW YORK",7,43,0.0,""" TENNYSON NEELT, 114 FIFTH AVENUE, NEW YORK",5,TheKingInYellow,confident_non_english,0.9999952822210288,0,
"
Nedy s Prismatic Librar^r GILT TOP, 50 CENTS",7,44,0.368,"
Nedy s Prismatic Librar^r GILT TOP, 50 CENTS",5,TheKingInYellow,english,0.9999952456986289,0,"
Nedy s Prismatic Librar^r GILT TOP, 50 CENTS"
" ""I know of nothing In the book line that equals Noely s Prismatic Library for elegance and careful selection",19,108,0.5719," ""I know of nothing In the book line that equals Noely s Prismatic Library for elegance and careful selection",5,TheKingInYellow,english,0.9999990516605537,0," ""I know of nothing In the book line that equals Noely s Prismatic Library for elegance and careful selection"
 It sets a pace that others will not easily tqual aad noje surpass,13,65,-0.2584, It sets a pace that others will not easily tqual aad noje surpass,5,TheKingInYellow,english,0.9999968925436902,0, It sets a pace that others will not easily tqual aad noje surpass
" ""--E",1,4,0.0," ""--E",5,TheKingInYellow,confident_non_english,0.9999916439545962,0,
 A,1,1,0.0, A,5,TheKingInYellow,confident_non_english,0.9997709097807372,0,
 ROBINSON,1,8,0.0, ROBINSON,5,TheKingInYellow,confident_non_english,0.999992865862403,0,
 SOUR SAINTS AND SWFET SINNERS,5,29,0.0, SOUR SAINTS AND SWFET SINNERS,5,TheKingInYellow,confident_non_english,0.9999941082460508,0,
 By Carlos Martyn,3,16,0.0, By Carlos Martyn,5,TheKingInYellow,confident_non_english,0.9999956775740002,0,
 SEVEN S3TIL ES AND A FEW FIBS,7,29,0.0, SEVEN S3TIL ES AND A FEW FIBS,5,TheKingInYellow,uncertain_non_english,0.7142839207697608,0, SEVEN S3TIL ES AND A FEW FIBS
" Ky Thorn ,* J",4,13,0.0," Ky Thorn ,* J",5,TheKingInYellow,english,0.9999971639288872,0," Ky Thorn ,* J"
 Vivian,1,6,0.0, Vivian,5,TheKingInYellow,confident_non_english,0.9999939323375021,0,
 With full-page illustrations by well-known artists,6,50,0.0, With full-page illustrations by well-known artists,5,TheKingInYellow,english,0.9999942144908711,0, With full-page illustrations by well-known artists
 A MODERN PROMETHEUS,3,19,0.0, A MODERN PROMETHEUS,5,TheKingInYellow,confident_non_english,0.9999977315998894,0,
 By E,2,4,0.0, By E,5,TheKingInYellow,confident_non_english,0.9999955902832329,0,
 Phillips Oppenhelm,2,18,0.0, Phillips Oppenhelm,5,TheKingInYellow,maybe_english,0.5681497701072861,0, Phillips Oppenhelm
 THE SHACKLES OF FATE,4,20,0.0, THE SHACKLES OF FATE,5,TheKingInYellow,uncertain_non_english,0.7142821969924882,0, THE SHACKLES OF FATE
 By Max Nordau,3,13,0.0, By Max Nordau,5,TheKingInYellow,uncertain_non_english,0.5714281512942541,0, By Max Nordau
 A BACHELOR OF PARIS,4,19,0.0, A BACHELOR OF PARIS,5,TheKingInYellow,uncertain_non_english,0.8571395312410998,0, A BACHELOR OF PARIS
 By John W,3,9,0.0, By John W,5,TheKingInYellow,uncertain_non_english,0.4285716783905539,0, By John W
 Harding,1,7,0.0, Harding,5,TheKingInYellow,confident_non_english,0.9999960368387907,0,
 With over BO il lustrations by William Hofacher,8,47,0.0, With over BO il lustrations by William Hofacher,5,TheKingInYellow,english,0.9999975467307147,0, With over BO il lustrations by William Hofacher
 MONTRESOR,1,9,0.0, MONTRESOR,5,TheKingInYellow,confident_non_english,0.9999943136974961,0,
 By Loota,2,8,0.0, By Loota,5,TheKingInYellow,english,0.9999959529348882,0, By Loota
 REVERIES OF A SPINSTER,4,22,0.0, REVERIES OF A SPINSTER,5,TheKingInYellow,uncertain_non_english,0.5714276286182306,0, REVERIES OF A SPINSTER
 ,1,0,0.0, ,5,TheKingInYellow,empty,,0, 
"/T%5C/0 J&V Helen Davies, THE ART MELODIOUS",6,42,0.0,"/T%5C/0 J&V Helen Davies, THE ART MELODIOUS",5,TheKingInYellow,maybe_english,0.5439591502096455,0,"/T%5C/0 J&V Helen Davies, THE ART MELODIOUS"
 By Louis Lombard,3,16,0.0, By Louis Lombard,5,TheKingInYellow,confident_non_english,0.9999966600549248,0,
 THE HONOR OF A PRINCES*,5,23,0.4939, THE HONOR OF A PRINCES*,5,TheKingInYellow,english,0.9999947221442997,0, THE HONOR OF A PRINCES*
 By F,2,4,0.0, By F,5,TheKingInYellow,confident_non_english,0.9999968271793284,0,
 Kimball Scribner,2,16,0.0, Kimball Scribner,5,TheKingInYellow,uncertain_non_english,0.4285705233552233,0, Kimball Scribner
 OBSERVATIONS OF A BACHELOR,4,26,0.0, OBSERVATIONS OF A BACHELOR,5,TheKingInYellow,uncertain_non_english,0.8571409278385649,0, OBSERVATIONS OF A BACHELOR
 By Louis Lombard,3,16,0.0, By Louis Lombard,5,TheKingInYellow,confident_non_english,0.9999966600549248,0,
 KINGS IN ADVERSITY,3,18,-0.4215, KINGS IN ADVERSITY,5,TheKingInYellow,confident_non_english,0.9999959645346161,0,
By E S,2,5,0.0,By E S,5,TheKingInYellow,uncertain_non_english,0.8571415630550869,0,By E S
 Van Zile,2,8,0.0, Van Zile,5,TheKingInYellow,confident_non_english,0.9999947078201341,0,
 NOBLE BLOOD AND A WEST POINT PARALLEL,7,37,0.4588, NOBLE BLOOD AND A WEST POINT PARALLEL,5,TheKingInYellow,english,0.9999939300435436,0, NOBLE BLOOD AND A WEST POINT PARALLEL
 By Captain King,3,15,0.0, By Captain King,5,TheKingInYellow,english,0.9999954491377314,0, By Captain King
 TRUMPETER FRED,2,14,0.0, TRUMPETER FRED,5,TheKingInYellow,english,0.9999944993093387,0, TRUMPETER FRED
 By Captain King,3,15,0.0, By Captain King,5,TheKingInYellow,english,0.9999954491377314,0, By Captain King
" Illustrated, FATHER STAFFORD",3,28,0.0," Illustrated, FATHER STAFFORD",5,TheKingInYellow,english,0.9999970259314743,0," Illustrated, FATHER STAFFORD"
 By Anthony Hope,3,15,0.4404, By Anthony Hope,5,TheKingInYellow,english,0.9999955531912798,0, By Anthony Hope
 THE KING IN YELLOW,4,18,0.0, THE KING IN YELLOW,5,TheKingInYellow,confident_non_english,0.9999950613093,0,
 By R,2,4,0.0, By R,5,TheKingInYellow,confident_non_english,0.9999952480991999,0,
 W,1,1,0.0, W,5,TheKingInYellow,confident_non_english,0.9999970336719026,0,
 Chambers,1,8,0.0, Chambers,5,TheKingInYellow,english,0.9999955328146402,0, Chambers
 IN THE QUARTER,3,14,0.0, IN THE QUARTER,5,TheKingInYellow,confident_non_english,0.9999952351784908,0,
 By R,2,4,0.0, By R,5,TheKingInYellow,confident_non_english,0.9999952480991999,0,
 W,1,1,0.0, W,5,TheKingInYellow,confident_non_english,0.9999970336719026,0,
 Chambers,1,8,0.0, Chambers,5,TheKingInYellow,english,0.9999955328146402,0, Chambers
 A PROFESSIONAL LOVER,3,20,0.5859, A PROFESSIONAL LOVER,5,TheKingInYellow,confident_non_english,0.9999943994191649,0,
 By Gyp,2,6,0.0, By Gyp,5,TheKingInYellow,confident_non_english,0.9999976026925665,0,
 BIJOU S COURTSHIPS,3,18,0.0, BIJOU S COURTSHIPS,5,TheKingInYellow,confident_non_english,0.9999942772799122,0,
 B i Gyp,3,7,0.0, B i Gyp,5,TheKingInYellow,confident_non_english,0.9999957230658736,0,
 Illustrated,1,11,0.0, Illustrated,5,TheKingInYellow,confident_non_english,0.9999951911196965,0,
 A CONSPIRACY OF THE CARBONARI,5,29,-0.5267, A CONSPIRACY OF THE CARBONARI,5,TheKingInYellow,maybe_english,0.7376881256358946,0, A CONSPIRACY OF THE CARBONARI
 By Loitise Muhlbach,3,19,0.0, By Loitise Muhlbach,5,TheKingInYellow,uncertain_non_english,0.7142838197354869,0, By Loitise Muhlbach
 SOAP BUBBLES,2,12,0.0, SOAP BUBBLES,5,TheKingInYellow,confident_non_english,0.999995117084961,0,
 By Dr,2,5,0.0, By Dr,5,TheKingInYellow,confident_non_english,0.9999978968030971,0,
 Max Nordau,2,10,0.0, Max Nordau,5,TheKingInYellow,uncertain_non_english,0.7142833343850548,0, Max Nordau
 F,1,1,0.0, F,5,TheKingInYellow,confident_non_english,0.9999941467966429,0,
"TENNYSON NEELY, PUBLISHER, NEW YORK, LONDON",5,42,0.0,"TENNYSON NEELY, PUBLISHER, NEW YORK, LONDON",5,TheKingInYellow,confident_non_english,0.9999951128278712,0,
 Copyrighted in the United Statet and Great Britain in MDCCCXCV by F,12,67,0.7845, Copyrighted in the United Statet and Great Britain in MDCCCXCV by F,5,TheKingInYellow,english,0.9999967376877616,0, Copyrighted in the United Statet and Great Britain in MDCCCXCV by F
 Tennyson Neely,2,14,0.0, Tennyson Neely,5,TheKingInYellow,confident_non_english,0.9999965221895034,0,
 All rights reserved,3,19,0.0, All rights reserved,5,TheKingInYellow,english,0.9999941259257084,0, All rights reserved
"
MAW THE KING IN YELLOW DEDF7ATED TO MY B&^THKB",8,46,0.0,"
MAW THE KING IN YELLOW DEDF7ATED TO MY B&^THKB",5,TheKingInYellow,english,0.9999944239116464,0,"
MAW THE KING IN YELLOW DEDF7ATED TO MY B&^THKB"
" 540GGG

CONTENTS",1,16,0.0," 540GGG

CONTENTS",5,TheKingInYellow,confident_non_english,0.999995532406275,0,
 MM THE REPAIRER OF REPUTATIONS 9 THE MASK 57 THE COURT OF THE DRAGON 85 THE YELLOW SIGN 99 THE DEMOISELLE o Ys 131 THE PROPHETS PARADISE 155 THE STREET OF THE FOUR WINDS 167 THE STREET OF THE FIRST SHELL,41,203,0.7125, MM THE REPAIRER OF REPUTATIONS 9 THE MASK 57 THE COURT OF THE DRAGON 85 THE YELLOW SIGN 99 THE DEMOISELLE o Ys 131 THE PROPHETS PARADISE 155 THE STREET OF THE FOUR WINDS 167 THE STREET OF THE FIRST SHELL,5,TheKingInYellow,english,0.999994078311893,0, MM THE REPAIRER OF REPUTATIONS 9 THE MASK 57 THE COURT OF THE DRAGON 85 THE YELLOW SIGN 99 THE DEMOISELLE o Ys 131 THE PROPHETS PARADISE 155 THE STREET OF THE FOUR WINDS 167 THE STREET OF THE FIRST SHELL
 179 THE STREET OF OUR LADY OF THE FIELDS,9,40,0.0, 179 THE STREET OF OUR LADY OF THE FIELDS,5,TheKingInYellow,english,0.9999948121240689,0, 179 THE STREET OF OUR LADY OF THE FIELDS
 229 RUE BARREE,3,14,0.0, 229 RUE BARREE,5,TheKingInYellow,maybe_english,0.5714270257697593,0, 229 RUE BARREE
" 285

THE REPAIRER OP REPUTATIONS",4,32,0.0," 285

THE REPAIRER OP REPUTATIONS",5,TheKingInYellow,english,0.9999963293294777,0," 285

THE REPAIRER OP REPUTATIONS"
"
""Along the shore the cloud waves break, The twin suas sink behind the lake",13,74,0.0,"
""Along the shore the cloud waves break, The twin suas sink behind the lake",5,TheKingInYellow,english,0.9999971128746309,0,"
""Along the shore the cloud waves break, The twin suas sink behind the lake"
 The shadows lengthen In Carcosa,5,31,0.0, The shadows lengthen In Carcosa,5,TheKingInYellow,english,0.9999976307712978,0, The shadows lengthen In Carcosa
